Date,BITO,GLD,SPY,TLT
2021-08-18,,167.10000610351562,427.64837646484375,143.92752075195312
2021-08-19,,166.61000061035156,428.3105163574219,144.98760986328125
2021-08-20,,166.6999969482422,431.7185974121094,145.08396911621094
2021-08-23,,168.72999572753906,435.5162658691406,144.98760986328125
2021-08-24,,168.64999389648438,436.2076110839844,143.8600311279297
2021-08-25,,167.47999572753906,437.1229248046875,142.66506958007812
2021-08-26,,167.6699981689453,434.5425109863281,143.06021118164062
2021-08-27,,170.19000244140625,438.427734375,144.03355407714844
2021-08-30,,169.35000610351562,440.3557434082031,144.4093475341797
2021-08-31,,169.69000244140625,439.70330810546875,143.4263916015625
2021-09-01,,169.6999969482422,439.93701171875,143.66668701171875
2021-09-02,,169.25,441.2905578613281,144.29383850097656
2021-09-03,,171.05999755859375,441.1833801269531,142.98158264160156
2021-09-07,,167.7100067138672,439.60595703125,141.77540588378906
2021-09-08,,167.2899932861328,439.0704040527344,142.74034118652344
2021-09-09,,168.02999877929688,437.19110107421875,144.46754455566406
2021-09-10,,167.17999267578125,433.7439880371094,143.19387817382812
2021-09-13,,167.74000549316406,434.8540344238281,144.06227111816406
2021-09-14,,168.82000732421875,432.50738525390625,145.8087615966797
2021-09-15,,167.8300018310547,436.11993408203125,145.29736328125
2021-09-16,,164.02999877929688,435.42864990234375,144.631591796875
2021-09-17,,163.77000427246094,431.18707275390625,143.9368438720703
2021-09-20,,164.94000244140625,423.9974060058594,145.72190856933594
2021-09-21,,166.0399932861328,423.59686279296875,145.59652709960938
2021-09-22,,165.4199981689453,427.72894287109375,146.46490478515625
2021-09-23,,163.50999450683594,432.9258728027344,143.15525817871094
2021-09-24,,163.3000030517578,433.6390075683594,141.756103515625
2021-09-27,,163.63999938964844,432.3984069824219,141.23504638671875
2021-09-28,,162.0500030517578,423.6847839355469,139.03504943847656
2021-09-29,,161.32000732421875,424.3978576660156,139.27627563476562
2021-09-30,,164.22000122070312,419.21075439453125,139.25698852539062
2021-10-01,,164.58999633789062,424.1927185058594,140.4289093017578
2021-10-04,,165.36000061035156,418.7223205566406,140.07142639160156
2021-10-05,,164.58999633789062,423.0791320800781,138.71884155273438
2021-10-06,,165.02999877929688,424.83746337890625,139.50143432617188
2021-10-07,,164.16000366210938,428.5104675292969,138.0425567626953
2021-10-08,,164.22999572753906,427.72894287109375,137.076416015625
2021-10-11,,163.9199981689453,424.63232421875,136.72860717773438
2021-10-12,,164.66000366210938,423.5870666503906,139.06663513183594
2021-10-13,,167.58999633789062,425.1109924316406,140.41925048828125
2021-10-14,,168.0,432.2616271972656,140.94097900390625
2021-10-15,,165.3300018310547,435.55364990234375,140.1197509765625
2021-10-18,,164.9199981689453,436.8431091308594,140.77670288085938
2021-10-19,,165.4499969482422,440.2132873535156,138.83477783203125
2021-10-20,41.410728454589844,166.89999389648438,441.9422912597656,137.89761352539062
2021-10-21,39.06654739379883,166.75,443.0950012207031,137.7333984375
2021-10-22,37.803558349609375,167.77000427246094,442.63592529296875,139.25022888183594
