Date,BIL,BND,BTC-USD,CWB,DBC,EEM,EMB,GLD,HYG,IGLB,IGSB,IWM,MTUM,PFF,QQQ,QUAL,SHY,SIZE,SPY,TIP,TLT,USMV,VLUE,VNQ,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2010-09-30,85.36406707763672,58.56807327270508,,22.683181762695312,23.285005569458008,34.48631286621094,62.4965934753418,127.91000366210938,44.56089019775391,33.04343032836914,41.83034133911133,56.63283157348633,,19.67022705078125,43.66234970092773,,75.38206481933594,,90.00859069824219,80.61388397216797,76.4713134765625,,,31.896469116210938,25.225082397460938,,36.76094055175781,9.229608535766602,24.493392944335938,19.140974044799805,19.93276023864746,,20.26011657714844,24.65183448791504,28.32975959777832
2010-10-01,85.36406707763672,58.520503997802734,,22.84013938903809,23.33329200744629,34.99470901489258,62.572731018066406,128.91000366210938,44.61941909790039,32.95857620239258,41.863037109375,56.93488311767578,,19.684144973754883,43.60898971557617,,75.3954849243164,,90.38712310791016,80.83222961425781,76.10171508789062,,,32.055702209472656,25.55597305297852,,37.252742767333984,9.326090812683104,24.516881942749023,19.149290084838867,19.968505859375,,20.36987495422364,24.65183448791504,28.36368179321289
2010-10-04,85.38265991210938,58.66972351074219,,22.664453506469727,23.25602912902832,34.886871337890625,62.55014801025391,128.4600067138672,44.46435928344727,33.00040054321289,41.882999420166016,56.1629638671875,,19.60955810546875,43.13738250732422,,75.4043960571289,,89.70890045166016,80.95806884765625,76.29818725585938,,,32.34968185424805,25.14812469482422,,36.78716659545898,9.26177215576172,24.25848388671875,18.991304397583008,19.91131591796875,,20.331130981445312,24.40928077697754,28.30432510375977
2010-10-05,85.36406707763672,58.68388366699219,,22.980697631835938,23.729263305664062,35.51851272583008,62.978607177734375,130.99000549316406,44.62441253662109,32.8988037109375,41.90691375732422,57.757110595703125,,19.639402389526367,44.18733978271485,,75.44013214111328,,91.5149383544922,81.47611999511719,75.83985900878906,,,32.86415100097656,25.85608673095703,,37.652740478515625,9.474017143249512,24.90839576721192,19.365476608276367,20.09719657897949,,20.557104110717773,24.86205291748047,28.89787673950196
2010-10-06,85.36406707763672,58.81887435913086,,22.758150100708008,23.738922119140625,35.50310134887695,63.14204025268555,131.80999755859375,44.58437728881836,33.25745391845703,41.942848205566406,57.56412124633789,,19.629444122314453,43.80472946166992,,75.44911193847656,,91.50701904296876,82.1939697265625,76.79289245605469,,,32.68654251098633,26.10233497619629,,37.98715972900391,9.467585563659668,25.05718040466309,19.274015426635746,20.18298721313477,,20.46026039123535,24.765033721923828,28.70284843444824
2010-10-07,85.36406707763672,58.9183349609375,,22.939680099487305,23.49747467041016,35.187278747558594,63.17594146728516,130.3699951171875,44.67439651489258,33.25745391845703,41.94683456420898,57.39633560180664,,19.66425132751465,43.96489334106445,,75.51167297363281,,91.39661407470705,82.00894927978516,76.1526870727539,,,32.77839279174805,25.8406982421875,,37.79700469970703,9.429001808166504,25.002365112304688,19.274015426635746,20.111492156982425,,20.49900245666504,24.813539505004883,28.83851432800293
2010-10-08,85.36406707763672,58.84731674194336,,23.04509925842285,24.27975845336914,35.61094284057617,63.40139389038086,131.66000366210938,44.824440002441406,33.19767379760742,41.9268913269043,58.126258850097656,,19.70404815673828,44.26743316650391,,75.51167297363281,,91.90921783447266,82.54924011230469,75.81807708740234,,,32.87026596069336,26.34858512878418,,38.26912689208984,9.45472526550293,25.213790893554688,19.38210678100586,20.15439224243164,,20.56356430053711,24.87822151184082,29.135303497314453
2010-10-11,85.36406707763672,58.825984954833984,,23.10369110107422,24.16386604309082,35.58784484863281,63.66069793701172,132.2899932861328,44.9194450378418,33.2693977355957,41.97077178955078,58.17658615112305,,19.718950271606445,44.28523635864258,,75.52063751220703,,91.99600982666016,82.54924011230469,75.83258056640625,,,32.86415100097656,26.302413940429688,,38.37405776977539,9.441864013671877,25.14330673217773,19.41536903381348,20.175840377807617,,20.57002067565918,24.89439392089844,29.143779754638672
2010-10-12,85.36406707763672,58.76915740966797,,23.12712478637696,24.27975845336914,35.44147872924805,63.76781463623047,131.9600067138672,44.87944030761719,33.17970275878906,41.94683456420898,58.32761764526367,,19.738853454589844,44.58776473999024,,75.467041015625,,92.27989959716795,82.297607421875,75.08328247070312,,,33.09688186645508,26.37166976928711,,38.3150520324707,9.551201820373535,25.12765121459961,19.531774520874023,20.225889205932617,,20.4860897064209,24.95098876953125,29.211620330810547
2010-10-13,85.36406707763672,58.86150741577149,,23.179819107055664,24.395652770996094,36.09623718261719,64.03834533691406,134.07000732421875,45.02946472167969,32.89281463623047,41.93885040283203,59.21697616577149,,19.79356384277344,44.95257568359375,,75.47595977783203,,92.9975814819336,82.79347229003906,74.96686553955078,,,33.43984603881836,26.794919967651367,,38.78060531616211,9.557634353637695,25.54265213012696,19.68975830078125,20.39746856689453,,20.56356430053711,25.12886047363281,29.254018783569336
2010-10-14,85.38265991210938,58.63419342041016,,23.396520614624023,24.35702133178711,36.034610748291016,63.70579147338867,134.75,44.81442260742188,32.90475845336914,41.87102127075195,59.17501068115234,,19.74880027770996,44.86358642578125,,75.44013214111328,,92.6347885131836,83.052490234375,73.84654235839844,,,33.35410690307617,26.54096794128418,,38.72160720825195,9.390406608581545,25.39388465881348,19.698074340820312,20.40461540222168,,20.53128242492676,25.080360412597656,29.220094680786133
2010-10-15,85.36406707763672,58.49917984008789,,23.197383880615234,24.086605072021484,35.9883918762207,63.7339973449707,133.67999267578125,44.92945098876953,32.420616149902344,41.88698196411133,58.973663330078125,,19.59959602355957,45.815673828125,,75.467041015625,,92.82405853271484,82.51959991455078,72.94448852539062,,,33.311222076416016,26.617918014526367,,38.82651519775391,9.229608535766602,25.237279891967773,20.030668258666992,20.45467185974121,,20.595848083496094,25.18545913696289,29.43207740783692
